traceID,spanID,starttime,operationName,servicename,podname,childSpanId,childTraceId,duration,http.status_code,container,instance,container_memory_working_set_bytes,container_cpu_usage_seconds_total,trace_length
147e01a41865a515,8e7633b7dbcf2998,2022-07-13T11:35:00.000000,queryById,ts-route-service,ts-route-service-65d88487b5-dz4zj,c18207b62819e458,147e01a41865a515,148782,200,ts-route-service,10.252.1.23:10250,279244800.0,79.630764163,7
147e01a41865a515,6f5f2b4e3b02e6f1,2022-07-13T11:35:00.000000,GET,ts-ticketinfo-service,ts-ticketinfo-service-5bb968c568-z7hpr,a42c10bfafcf7719,147e01a41865a515,199554,200,ts-ticketinfo-service,10.252.1.21:10250,289566720.0,78.803743593,4
6fed7946c04f735f,d55dba8bc5dab163,2022-07-13T11:40:00.000000,GET,ts-route-service,ts-route-service-65d88487b5-dz4zj,a10aac680f2e9426,6fed7946c04f735f,58831,200,ts-route-service,10.252.1.23:10250,309194752.0,96.191978285,6
147e01a41865a515,085b162ab4d07f02,2022-07-13T11:35:00.000000,query,ts-price-service,ts-price-service-7466fb7cdf-q8cgx,b4c51edefa238d9c,147e01a41865a515,4302445,200,ts-price-service,10.252.1.23:10250,283762688.0,80.111378522,7
dbb652bad90c4246,0a9113c16efac2cf,2022-07-13T11:50:00.000000,GET,ts-basic-service,ts-basic-service-67746d6b6-dsp99,2596186397d456b6,dbb652bad90c4246,200974,200,ts-basic-service,10.252.1.22:10250,289693696.0,76.175112424,6
dbb652bad90c4246,6a53b1f074ffda8e,2022-07-13T11:50:00.000000,retrieve,ts-train-service,ts-train-service-7568b87b6b-gsczs,8167d55d430d1e61,dbb652bad90c4246,398592,200,ts-train-service,10.252.1.22:10250,298987520.0,82.807783963,3
6fed7946c04f735f,55bfd2553f6dd160,2022-07-13T11:40:00.000000,GET,ts-station-service,ts-station-service-777bd6b4-6gh4t,c8c5b8592605cd3d,6fed7946c04f735f,403252,200,ts-station-service,10.252.1.23:10250,307372032.0,85.796179342,4
dbb652bad90c4246,7c8a8483ce06452f,2022-07-13T11:50:00.000000,POST,ts-travel-service,ts-travel-service-5c8fdffbb8-27nvn,dbb652bad90c4246,dbb652bad90c4246,1397567,200,ts-travel-service,10.252.1.22:10250,319635456.0,87.427574294,2
dbb652bad90c4246,2563c14a9a05594a,2022-07-13T11:50:00.000000,queryForStationId,ts-station-service,ts-station-service-777bd6b4-6gh4t,8365bb99587a2f29,dbb652bad90c4246,61389,200,ts-station-service,10.252.1.23:10250,308789248.0,87.524188408,7
6fed7946c04f735f,0eb93f2d66544cfd,2022-07-13T11:40:00.000000,GET,ts-ticketinfo-service,ts-ticketinfo-service-5bb968c568-z7hpr,e83835f82de7a25d,6fed7946c04f735f,295349,200,ts-ticketinfo-service,10.252.1.21:10250,307998720.0,81.31858873,6
dbb652bad90c4246,8413b10647d9093f,2022-07-13T11:50:00.000000,queryForStationId,ts-ticketinfo-service,ts-ticketinfo-service-5bb968c568-z7hpr,87c7aa18e8cd9132,dbb652bad90c4246,246558,200,ts-ticketinfo-service,10.252.1.21:10250,308568064.0,82.648672352,3
dbb652bad90c4246,10e2f6eba87b90bd,2022-07-13T11:50:00.000000,GET,ts-basic-service,ts-basic-service-67746d6b6-dsp99,2596186397d456b6,dbb652bad90c4246,93426,200,ts-basic-service,10.252.1.22:10250,289693696.0,76.175112424,6
6fed7946c04f735f,6534875e4cb5d62f,2022-07-13T11:40:00.000000,queryById,ts-basic-service,ts-basic-service-67746d6b6-dsp99,7d3c47ec6f2d1556,6fed7946c04f735f,136527,200,ts-basic-service,10.252.1.22:10250,288808960.0,74.617323296,7
